IPN,MPN,Manufacturer,Description,Voltage,Current,Symbol,Footprint,Datasheet,LCSC,DigiKey_PN,Mouser_PN,DigiKey_Price,Mouser_Price,Price_Range,Price_LastSynced_UTC
REG-0000-0005,TPS5430DDAR,TI,Switching Voltage Regulators 5.5 to 36V Input 3A Step Down Converter,ADJ,3A,g-reg:tps5430,g-reg:TI_SO-PowerPAD-8,https://www.ti.com/lit/ds/symlink/tps5430.pdf,,296-26988-2-ND,595-TPS5430DDAR,$4.33,$4.33,$4.33,2026-03-13T05:09:56.452571+00:00
REG-0001-0000,TLV709A01DBVR,TI,"Linear Reg, Adjustable 150mA",ADJ,150mA,g-reg:TLV709ADJ,g-SOT:SOT-23-5,https://www.ti.com/lit/ds/symlink/tlv709.pdf,,296-TLV709A01DBVRTR-ND,595-TLV709A01DBVR,$0.5,$0.5,$0.5,2026-03-13T05:09:57.231671+00:00
REG-0002-01V8,ADP7142AUJZ-1.8-R7,Analog Devices,"Linear Reg, 1.8V, 200mA, Adjustable",1.8V,200mA,g-reg:ADP7142,g-SOT:SOT-23-5,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP7142.pdf,,505-ADP7142AUJZ-1.8-R7TR-ND,584-ADP7142AUJZ1.8R7,$4.05,$4.05,$4.05,2026-03-13T05:09:58.067923+00:00
REG-0003-0001,LM2623AMM/NOPB,TI,"Boost switching reg, 2A, 14V",ADJ,2.2A,g-reg:LM2623,Package_SO:VSSOP-8_3.0x3.0mm_P0.65mm,https://www.ti.com/lit/ds/symlink/lm2623.pdf,,LM2623AMM/NOPBTR-ND,926-LM2623AMM/NOPB,$2,$2,$2,2026-03-13T05:09:58.930568+00:00
REG-0004-0001,LTM8074EY#PBF,Analog Devices Inc.,Non-Isolated PoL Module DC DC Converter 1 Output 0.8 ~ 12V 1.2A 3.2V - 40V Input,ADJ,1.25A,g-reg:MODULE_LTM8074_PWR_SUPPLY,g-reg:LT_BGA_4X4X25-05-08-1566A,http://www.analog.com/media/en/technical-documentation/data-sheets/LTM8074.pdf,,505-LTM8074EY#PBF-ND,584-LTM8074EY#PBF,$11.57,$13.29,$11.57 - $13.29,2026-03-13T05:09:59.751742+00:00
REG-0005-04V5,LP5907MFX-4.5/NOPB,Texas Instruments,Linear Voltage Regulator IC Positive Fixed 1 Output 250mA 4.5V SOT-23-5,4.5V,250mA,g-reg:IC_LP5907QMFX-4.5_LDO_REG,g-SOT:SOT-23-5,https://www.ti.com/lit/ds/symlink/lp5907.pdf,,296-39064-2-ND,595-LP5907MFX-4.5NPB,$0.57,$0.57,$0.57,2026-03-13T05:10:00.514927+00:00
REG-0006-03V3,LT1761ES5-3.3#TRPBF,Analog Devices Inc.,Linear Voltage Regulator IC Positive Fixed 1 Output 100mA TSOT-23-5,3.3V,100mA,g-reg:IC_LT1761-3.3V,g-SOT:TSOT-23-5,https://www.analog.com/media/en/technical-documentation/data-sheets/1761sff.pdf,,505-LT1761ES5-3.3#TRPBFTR-ND,584-1761ES5-3.3TRPBF,$3.8,$3.8,$3.8,2026-03-13T05:10:01.435294+00:00
REG-0007-0001,LTM4638EY#PBF,Analog Devices Inc.,Non-Isolated PoL Module DC DC Converter 1 Output 0.6 ~ 5.5V 15A 3.1V - 20V Input,ADJ,15A,g-reg:MODULE_LTM4638,Package_BGA:Analog_BGA-49_6.25x6.25mm_Layout7x7_P0.8mm_Ball0.5mm_Pad0.4mm,https://www.analog.com/media/en/technical-documentation/data-sheets/ltm4638.pdf,,505-LTM4638EY#PBF-ND,584-LTM4638EY#PBF,$31.88,$30.7,$30.7 - $31.88,2026-03-13T05:10:02.256348+00:00
REG-0008-0001,LTM8063EY#PBF,Analog Devices Inc.,Non-Isolated PoL Module DC DC Converter 1 Output 0.8 ~ 15V 2A 3.2V - 40V Input,ADJ,2A,g-reg:MODULE_LTM8063,Package_BGA:Analog_BGA-28_4.0x6.25mm_Layout4x7_P0.8mm_Ball0.45mm_Pad0.4,https://www.analog.com/media/en/technical-documentation/data-sheets/LTM8063.pdf,,505-LTM8063EY#PBF-ND,584-LTM8063EYPBF,$19.96,$19.96,$19.96,2026-03-13T05:10:03.326497+00:00
REG-0009-0001,LTM4702IY#PBF,Analog Devices Inc.,Non-Isolated PoL Module DC DC Converter 1 Output 0.3 ~ 5.7V 8A 3V - 16V Input,ADJ,8A,g-reg:MODULE_LTM4702,Package_BGA:Analog_BGA-49_6.25x6.25mm_Layout7x7_P0.8mm_Ball0.5mm_Pad0.4mm,https://www.analog.com/media/en/technical-documentation/data-sheets/ltm4702.pdf,,505-LTM4702IY#PBF-ND,584-LTM4702IYPB,$25.86,$25.86,$25.86,2026-03-13T05:10:04.623100+00:00
