"IPN","MPN","Manufacturer","Description","Value","Symbol","Footprint","Tolerance","Datasheet","LCSC","DigiKey_PN","Mouser_PN"
"RES-0000-0000","0603WAF0000T5E","UNI-ROYAL(Uniroyal Elec)","RES  0 OHM 1% 1/10W 0603","0","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8578255895094087680","C21189","",""
"RES-0000-0470","RC0603FR-0747RL","Yageo","RES 47 OHM 1% 1/10W 0603","47","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C23182","",""
"RES-0000-1000","RC0603FR-07100RL","Yageo","RES 100 OHM 1% 1/10W 0603","100","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C22775","",""
"RES-0000-1500","RC0603FR-07150RL","Yageo","RES 150 OHM 1% 1/10W 0603","150","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C22808","",""
"RES-0000-1800","RC0603FR-07180RL","Yageo","RES 180 OHM 1% 1/10W 0603","180","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C22828","",""
"RES-0000-4700","RC0603FR-07470RL","Yageo","RES 470 OHM 1% 1/10W 0603","470","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C23179","",""
"RES-0000-5100","RC0603FR-07510RL","Yageo","RES 510 OHM 1% 1/10W 0603","510","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C23193","",""
"RES-0000-8200","RC0603FR-13820RL","Yageo","RES 820 OHM 1% 1/10W 0603","820","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C23253","",""
"RES-0000-1001","RC0603FR-071KL","Yageo","RES 1K OHM 1% 1/10W 0603","1k","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C21190","",""
"RES-0000-1201","RC0603FR-071K2L","Yageo","RES 1.2K OHM 1% 1/10W 0603","1.2k","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C22765","",""
"RES-0000-1501","RC0603FR-071K5L","Yageo","RES 1.5K OHM 1% 1/10W 0603","1.5k","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C22843","",""
"RES-0000-1801","RC0603FR-071K8L","Yageo","RES 1.8K OHM 1% 1/10W 0603","1.8k","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C4177","",""
"RES-0000-2001","RC0603FR-072KL","Yageo","RES 2K OHM 1% 1/10W 0603","2k","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C22975","",""
"RES-0000-2201","RC0603FR-072K2L","Yageo","RES 2.2K OHM 1% 1/10W 0603","2.2k","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C4190","",""
"RES-0000-2701","RC0603FR-072K7L","Yageo","RES 2.7K OHM 1% 1/10W 0603","2.7k","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C13167","",""
"RES-0000-3901","RC0603FR-133K9L","Yageo","RES 3.9K OHM 1% 1/10W 0603","3.9k","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C23018","",""
"RES-0000-4701","RC0603FR-074K7L","Yageo","RES 4.7K OHM 1% 1/10W 0603","4.7k","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C23162","",""
"RES-0000-1002","RC0603FR-0710KL","Yageo","RES 10K OHM 1% 1/10W 0603","10k","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C25804","",""
"RES-0000-1202","RC0603FR-0712KL","Yageo","RES 12K OHM 1% 1/10W 0603","12k","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C22790","",""
"RES-0000-1502","RC0603FR-0715KL","Yageo","RES 15K OHM 1% 1/10W 0603","15k","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C22809","",""
"RES-0000-1802","RC0603FR-0718KL","Yageo","RES 18K OHM 1% 1/10W 0603","18k","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C25810","",""
"RES-0000-2002","RC0603FR-0720KL","Yageo","RES 20K OHM 1% 1/10W 0603","20k","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C4184","",""
"RES-0000-2202","RC0603FR-0722KL","Yageo","RES 22K OHM 1% 1/10W 0603","22k","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C31850","",""
"RES-0000-3002","RC0603FR-0730KL","Yageo","RES 30K OHM 1% 1/10W 0603","30k","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C22984","",""
"RES-0000-3302","RC0603FR-0733KL","Yageo","RES 33K OHM 1% 1/10W 0603","33k","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C4216","",""
"RES-0000-6202","RC0603FR-1362KL","Yageo","RES 62K OHM 1% 1/10W 0603","62k","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C23221","",""
"RES-0000-1003","RC0603FR-07100KL","Yageo","RES 100K OHM 1% 1/10W 0603","100k","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C25803","",""
"RES-0000-4703","RC0603FR-07470KL","Yageo","RES 470K OHM 1% 1/10W 0603","470k","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C23178","",""
"RES-0000-1004","RC0603FR-071ML","Yageo","RES 1M OHM 1% 1/10W 0603","1M","g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C22935","",""
